bat_team,bowl_team,runs,wickets,overs,runs_last_5,wickets_last_5,total
England,Australia,0,0,0.1,0,0,179
England,Australia,1,0,0.2,1,0,179
England,Australia,1,0,0.3,1,0,179
England,Australia,1,0,0.4,1,0,179
England,Australia,1,0,0.5,1,0,179
England,Australia,2,0,0.5,2,0,179
England,Australia,4,0,0.6,4,0,179
England,Australia,4,0,1.1,4,0,179
England,Australia,4,0,1.2,4,0,179
England,Australia,5,0,1.2,5,0,179
England,Australia,5,0,1.3,5,0,179
England,Australia,5,0,1.4,5,0,179
England,Australia,5,0,1.5,5,0,179
England,Australia,6,0,1.6,6,0,179
England,Australia,10,0,2.1,10,0,179
England,Australia,11,0,2.2,11,0,179
England,Australia,11,0,2.3,11,0,179
England,Australia,15,0,2.4,15,0,179
England,Australia,19,0,2.5,19,0,179
England,Australia,20,0,2.6,20,0,179
England,Australia,20,0,3.1,20,0,179
England,Australia,24,0,3.2,24,0,179
England,Australia,28,0,3.3,28,0,179
England,Australia,28,0,3.4,28,0,179
England,Australia,28,1,3.5,28,1,179
England,Australia,29,1,3.6,29,1,179
England,Australia,30,1,4.1,30,1,179
England,Australia,32,1,4.1,32,1,179
England,Australia,36,1,4.2,36,1,179
England,Australia,37,1,4.3,37,1,179
England,Australia,38,1,4.3,38,1,179
England,Australia,39,1,4.4,38,1,179
England,Australia,40,1,4.5,39,1,179
England,Australia,43,1,4.6,42,1,179
England,Australia,44,1,5.1,43,1,179
England,Australia,44,1,5.2,42,1,179
England,Australia,48,1,5.3,44,1,179
England,Australia,49,1,5.4,45,1,179
England,Australia,49,2,5.5,45,2,179
England,Australia,50,2,5.6,45,2,179
England,Australia,51,2,6.1,46,2,179
England,Australia,51,2,6.2,46,2,179
England,Australia,52,2,6.3,47,2,179
England,Australia,52,2,6.4,46,2,179
England,Australia,56,2,6.5,46,2,179
England,Australia,58,2,6.6,47,2,179
England,Australia,59,2,7.1,48,2,179
England,Australia,63,2,7.2,48,2,179
England,Australia,65,2,7.3,46,2,179
England,Australia,66,2,7.4,46,2,179
England,Australia,67,2,7.5,47,2,179
England,Australia,68,2,7.6,44,2,179
England,Australia,69,2,8.1,41,2,179
England,Australia,70,2,8.2,42,2,179
England,Australia,71,2,8.3,43,1,179
England,Australia,75,2,8.4,46,1,179
England,Australia,76,2,8.5,46,1,179
England,Australia,82,2,8.6,50,1,179
England,Australia,83,2,9.1,47,1,179
England,Australia,85,2,9.2,48,1,179
England,Australia,89,2,9.3,51,1,179
England,Australia,90,2,9.4,51,1,179
England,Australia,91,2,9.5,51,1,179
England,Australia,93,2,9.6,50,1,179
England,Australia,94,2,10.1,50,1,179
England,Australia,95,2,10.2,51,1,179
England,Australia,99,2,10.3,51,1,179
England,Australia,100,2,10.4,51,1,179
England,Australia,100,3,10.5,51,1,179
England,Australia,101,3,10.6,51,1,179
England,Australia,102,3,11.1,51,1,179
England,Australia,102,4,11.2,51,2,179
England,Australia,102,4,11.3,50,2,179
England,Australia,103,4,11.4,51,2,179
England,Australia,104,4,11.5,48,2,179
England,Australia,105,4,11.6,47,2,179
England,Australia,106,4,12.1,47,2,179
England,Australia,106,4,12.2,43,2,179
England,Australia,107,4,12.3,42,2,179
England,Australia,107,4,12.4,41,2,179
England,Australia,108,4,12.5,41,2,179
England,Australia,109,4,12.6,41,2,179
England,Australia,109,5,13.1,40,3,179
England,Australia,109,5,13.2,39,3,179
England,Australia,110,5,13.3,39,3,179
England,Australia,110,5,13.4,35,3,179
England,Australia,111,5,13.5,35,3,179
England,Australia,111,5,13.6,29,3,179
England,Australia,114,5,14.1,31,3,179
England,Australia,116,5,14.2,31,3,179
England,Australia,117,5,14.3,28,3,179
England,Australia,117,5,14.4,27,3,179
England,Australia,118,5,14.5,27,3,179
England,Australia,124,5,14.6,31,3,179
England,Australia,125,5,15.1,31,3,179
England,Australia,126,5,15.2,31,3,179
England,Australia,126,5,15.3,27,3,179
England,Australia,127,5,15.4,27,3,179
England,Australia,131,5,15.5,31,2,179
England,Australia,132,5,15.6,31,2,179
England,Australia,133,5,16.1,31,2,179
England,Australia,133,5,16.2,31,1,179
England,Australia,137,5,16.3,35,1,179
England,Australia,138,5,16.3,35,1,179
England,Australia,139,5,16.4,35,1,179
England,Australia,143,5,16.5,38,1,179
England,Australia,149,5,16.6,43,1,179
England,Australia,151,5,17.1,45,1,179
England,Australia,152,5,17.2,45,1,179
England,Australia,153,5,17.3,46,1,179
England,Australia,155,5,17.4,47,1,179
England,Australia,156,5,17.5,47,1,179
England,Australia,157,5,17.6,48,0,179
England,Australia,158,5,18.1,49,0,179
England,Australia,158,6,18.2,48,1,179
England,Australia,159,6,18.3,49,1,179
England,Australia,159,6,18.4,48,1,179
England,Australia,163,6,18.5,52,1,179
England,Australia,167,6,18.6,53,1,179
England,Australia,169,6,19.1,53,1,179
England,Australia,173,6,19.2,56,1,179
England,Australia,175,6,19.3,58,1,179
England,Australia,175,7,19.4,57,2,179
England,Australia,179,7,19.5,55,2,179
England,Australia,179,8,19.6,54,3,179
Australia,New Zealand,1,0,0.0,1,0,214
Australia,New Zealand,2,0,0.1,2,0,214
Australia,New Zealand,2,0,0.2,2,0,214
Australia,New Zealand,3,0,0.3,3,0,214
Australia,New Zealand,4,0,0.4,4,0,214
Australia,New Zealand,10,0,0.5,10,0,214
Australia,New Zealand,10,1,0.6,10,1,214
Australia,New Zealand,10,1,1.1,10,1,214
Australia,New Zealand,14,1,1.2,14,1,214
Australia,New Zealand,20,1,1.3,20,1,214
Australia,New Zealand,21,1,1.4,21,1,214
Australia,New Zealand,21,2,1.5,21,2,214
Australia,New Zealand,22,2,1.6,22,2,214
Australia,New Zealand,22,2,2.1,22,2,214
Australia,New Zealand,22,2,2.2,22,2,214
Australia,New Zealand,23,2,2.3,23,2,214
Australia,New Zealand,25,2,2.4,25,2,214
Australia,New Zealand,25,2,2.5,25,2,214
Australia,New Zealand,26,2,2.6,26,2,214
Australia,New Zealand,30,2,3.1,30,2,214
Australia,New Zealand,31,2,3.1,31,2,214
Australia,New Zealand,37,2,3.2,37,2,214
Australia,New Zealand,41,2,3.3,41,2,214
Australia,New Zealand,45,2,3.4,45,2,214
Australia,New Zealand,45,2,3.5,45,2,214
Australia,New Zealand,46,2,3.5,46,2,214
Australia,New Zealand,46,3,3.6,46,3,214
